time,sku,pid,site,po,kw
2016-10-20 17:00,RCC7AK,B005LJ8EXU,amazon.com,110-6825906-4260263,reverse osmosis water filtration system
2016-10-20 17:00,ICEK,B008H71Q4C,amazon.com,110-6825906-4260263,ice maker kit

2016-10-21 13:00,RCC7AK-UV,B006T3HYQ0,amazon.com,110-9543459-2032200,reverse osmosis water filtration system
2016-10-21 13:00,F7-GAC,B004HL32EE,amazon.com,110-9543459-2032200,reverse osmosis replacement filters

2016-10-24 12:00,RCC7AK,B005LJ8EXU,amazon.com,110-9629820-7304204,reverse osmosis
2016-10-24 12:00,F7-GAC,B004HL32EE,amazon.com,110-9629820-7304204,reverse osmosis replacement filters
2016-10-24 12:00,ICEK,B008H71Q4C,amazon.com,110-9629820-7304204,ice maker kit

2016-10-24 17:00,RCC7P-AK,B005LKKMYS,amazon.com,110-1702059-9146648,reverse osmosis
2016-10-24 17:00,F7-GAC,B004HL32EE,amazon.com,110-1702059-9146648,reverse osmosis replacement filters

2016-10-25 12:00,RCC7AK,B005LJ8EXU,amazon.com,110-8557243-3379414,reverse osmosis
2016-10-25 12:00,ICEK,B008H71Q4C,amazon.com,110-8557243-3379414,ice maker kit

2016-10-25 12:00,RCC7P-AK,B005LKKMYS,amazon.com,110-8169125-8127443,reverse osmosis
2016-10-25 12:00,F7-GAC,B004HL32EE,amazon.com,110-8169125-8127443,reverse osmosis replacement filters

2016-10-25 17:00,RCS5T,B0040IOU5E,amazon.com,110-4048163-6962645,reverse osmosis
2016-10-25 17:00,ICEK,B008H71Q4C,amazon.com,110-4048163-6962645,ice maker kit

2016-10-26 12:00,RCC7AK,B005LJ8EXU,amazon.com,110-7213455-4287426,reverse osmosis
2016-10-26 12:00,ICEK,B008H71Q4C,amazon.com,110-7213455-4287426,ice maker kit

2016-10-26 17:00,RCC7P-AK,B005LKKMYS,amazon.com,110-3130204-4389030,reverse osmosis
2016-10-26 17:00,F7-GAC,B004HL32EE,amazon.com,110-3130204-4389030,reverse osmosis replacement filters

2016-10-26 17:00,GK1-BN,B01095D3AO,amazon.com,110-6145494-3480233,reverse osmosis faucet
2016-10-26 17:00,ICEK,B008H71Q4C,amazon.com,110-6145494-3480233,ice maker kit

2016-10-27 17:00,RCC7AK,B005LJ8EXU,amazon.com,110-1168004-8295417,reverse osmosis
2016-10-27 17:00,ICEK,B008H71Q4C,amazon.com,110-1168004-8295417,ice maker kit

2016-10-27 17:00,RCC7AK-UV,B006T3HYQ0,amazon.com,110-4125009-7372248,reverse osmosis replacement filters
2016-10-27 17:00,F7-GAC,B004HL32EE,amazon.com,110-4125009-7372248,reverse osmosis replacement filters

2016-10-31 17:00,RCC7AK,B005LJ8EXU,amazon.com,110-8964018-1485068,reverse osmosis
2016-10-31 17:00,F7-GAC,B004HL32EE,amazon.com,110-8964018-1485068,reverse osmosis replacement filters

2016-11-01 17:00,RCC7P-AK,B005LKKMYS,amazon.com,110-9261126-7289824,reverse osmosis
2016-11-01 17:00,ICEK,B008H71Q4C,amazon.com,110-9261126-7289824,ice maker kit

2016-11-01 17:00,RCC7AK,B005LJ8EXU,amazon.com,110-0183383-5381049,reverse osmosis
2016-11-01 17:00,F7-GAC,B004HL32EE,amazon.com,110-0183383-5381049,reverse osmosis replacement filters

2016-11-02 17:00,GA1-BN,B00FZ2HAY2,amazon.com,110-7888446-9787426,reverse osmosis faucet
2016-11-02 17:00,F7-GAC,B004HL32EE,amazon.com,110-7888446-9787426,reverse osmosis replacement filters

2016-11-02 17:00,RCC7AK-UV,B006T3HYQ0,amazon.com,110-3275260-8777065,reverse osmosis replacement filters
2016-11-02 17:00,ICEK,B008H71Q4C,amazon.com,110-3275260-8777065,ice maker kit

2016-11-03 17:00,RCC7AK,B005LJ8EXU,amazon.com,110-9016751-9543400,reverse osmosis
2016-11-03 17:00,F7-GAC,B004HL32EE,amazon.com,110-9016751-9543400,reverse osmosis replacement filters

2016-11-07 16:00,RCC7,B003XELTTG,amazon.com,110-0283801-1788245,reverse osmosis
2016-11-07 16:00,RCC7,B003XELTTG,amazon.com,110-0183383-5381049,reverse osmosis water filtration systems

2016-11-08 10:00,RCC7,B003XELTTG,amazon.com,110-7581372-0726617,reverse osmosis
2016-11-08 10:00,RCC7,B003XELTTG,amazon.com,110-7639234-1185837,reverse osmosis filter
2016-11-08 10:00,RCC7,B003XELTTG,amazon.com,110-1290963-1981007,reverse osmosis water filtration systems

2016-11-09 12:40,RCC7,B003XELTTG,amazon.com,110-3998072-3785819,reverse osmosis
2016-11-09 12:40,RCC7,B003XELTTG,amazon.com,110-3876082-7555411,reverse osmosis water filtration systems
2016-11-09 12:40,RCC7,B003XELTTG,amazon.com,110-4720389-3211469,reverse osmosis filter
2016-11-09 12:40,RCC7,B003XELTTG,amazon.com,110-7761337-9019410,reverse osmosis system

2016-11-10 10:40,RCC7,B003XELTTG,amazon.com,110-4480689-4505841,reverse osmosis
2016-11-10 10:40,RCC7,B003XELTTG,amazon.com,110-0984816-2461841,reverse osmosis water filtration systems
2016-11-10 10:40,RCC7,B003XELTTG,amazon.com,110-4385405-7489869,reverse osmosis filter
2016-11-10 10:40,RCC7,B003XELTTG,amazon.com,110-1703048-6114635,reverse osmosis system
2016-11-10 10:40,RCC7,B003XELTTG,amazon.com,110-5431482-6388225,reverse osmosis

2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-8559451-0365037,reverse osmosis
2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-5776917-5361813,reverse osmosis water filtration systems
2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-2040696-3172230,reverse osmosis filter
2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-2551046-1596265,reverse osmosis system
2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-7891008-9754640,reverse osmosis
2016-11-11 11:40,RCC7,B003XELTTG,amazon.com,110-5682590-2339418,reverse osmosis water filtration systems

2016-11-12 15:30,RCC7,B003XELTTG,amazon.com,110-4195161-6693043,reverse osmosis filter
